Country,Primary,Secondary,Tertiary,Region 
Tunisia,16.4,14.4,4.9,Middle East and North Africa
United Arab Emirates,7.5,39.5,11.0,Middle East and North Africa
Yemen,3.3,6.1,1.1,Middle East and North Africa
Afghanistan,0.7,3.1,1.3,South Asia
Bangladesh,18.7,21.3,1.7,South Asia
India,10.8,16.3,2.7,South Asia
Maldives,16.4,4.9,0.2,South Asia
Nepal,12.3,9.8,0.8,South Asia
Pakistan,12.7,14.3,2.8,South Asia
Sri Lanka,9.9,35.1,9.2,South Asia
Benin,8.8,8.9,0.5,Sub-Saharan Africa
Botswana,6.0,27.5,1.5,Sub-Saharan Africa
Burundi,20.1,3.1,0.2,Sub-Saharan Africa
Cameroon,31.2,10.8,0.9,Sub-Saharan Africa
Central African Republic,14.9,5.2,0.4,Sub-Saharan Africa
Congo,5.3,5.4,0.5,Sub-Saharan Africa
Cote dIvoire,19.6,4.1,1.5,Sub-Saharan Africa
Democratic Republic of the Congo,0.4,6.5,0.3,Sub-Saharan Africa
Gabon,19.4,20.0,8.4,Sub-Saharan Africa
Gambia,4.1,2.9,0.6,Sub-Saharan Africa
Ghana,9.6,13.3,1.0,Sub-Saharan Africa
Kenya,19.4,7.7,2.3,Sub-Saharan Africa
Lesotho,23.8,36.2,0.7,Sub-Saharan Africa
Liberia,10.7,5.8,1.6,Sub-Saharan Africa
Malawi,11.3,5.0,0.1,Sub-Saharan Africa
Mali,8.6,2.0,0.4,Sub-Saharan Africa
Mauritania,24.8,4.6,0.4,Sub-Saharan Africa
Mauritius,9.1,29.0,1.2,Sub-Saharan Africa
Mozambique,9.6,0.9,0.2,Sub-Saharan Africa
Namibia,28.9,14.5,1.1,Sub-Saharan Africa
Niger,6.7,1.7,0.3,Sub-Saharan Africa
Reunion,21.0,21.2,0.2,Sub-Saharan Africa
Rwanda,27.7,5.0,0.3,Sub-Saharan Africa
Senegal,3.1,2.3,0.1,Sub-Saharan Africa
Sierra Leone,7.2,3.6,0.3,Sub-Saharan Africa
South Africa,7.2,31.9,0.2,Sub-Saharan Africa
Sudan,23.9,2.8,1.3,Sub-Saharan Africa
Swaziland,15.5,2.7,0.0,Sub-Saharan Africa
Togo,19.3,7.0,0.6,Sub-Saharan Africa
Uganda,15.9,3.5,1.1,Sub-Saharan Africa
United Republic of Tanzania,43.6,0.9,0.3,Sub-Saharan Africa
Zambia,37.5,10.6,0.4,Sub-Saharan Africa
Zimbabwe,25.0,7.1,0.3,Sub-Saharan Africa
