Country,Primary,Secondary,Tertiary,Region 
Tajikistan,2.5,65.5,2.5,Europe and Central Asia
Ukraine,7.0,34.5,26.2,Europe and Central Asia
Argentina,31.0,31.9,3.9,Latin America and the Caribbean
Barbados,3.5,23.4,3.4,Latin America and the Caribbean
Belize,14.2,31.4,3.3,Latin America and the Caribbean
Bolivia,6.2,15.7,7.8,Latin America and the Caribbean
Brazil,24.6,27.4,6.7,Latin America and the Caribbean
Chile,8.8,37.7,5.9,Latin America and the Caribbean
Colombia,28.9,25.1,12.5,Latin America and the Caribbean
Costa Rica,32.7,19.3,15.7,Latin America and the Caribbean
Cuba,9.4,29.8,13.4,Latin America and the Caribbean
Dominican Rep.,9.5,27.4,3.7,Latin America and the Caribbean
Ecuador,34.5,25.1,5.4,Latin America and the Caribbean
El Salvador,15.3,22.6,3.3,Latin America and the Caribbean
Guatemala,18.8,10.5,0.0,Latin America and the Caribbean
Guyana,16.8,36.6,0.2,Latin America and the Caribbean
Haiti,4.7,2.1,0.8,Latin America and the Caribbean
Honduras,24.8,17.5,1.9,Latin America and the Caribbean
Jamaica,10.9,33.6,10.1,Latin America and the Caribbean
Mexico,16.6,19.4,9.6,Latin America and the Caribbean
Nicaragua,14.4,18.4,10.9,Latin America and the Caribbean
Panama,20.1,26.3,16.1,Latin America and the Caribbean
Paraguay,27.3,20.4,4.2,Latin America and the Caribbean
Peru,18.0,33.8,11.4,Latin America and the Caribbean
Trinidad and Tobago,27.1,49.6,7.2,Latin America and the Caribbean
Uruguay,34.1,19.8,4.4,Latin America and the Caribbean
Venezuela,24.3,33.6,3.6,Latin America and the Caribbean
Algeria,20.4,16.8,7.1,Middle East and North Africa
Bahrain,3.5,34.7,8.2,Middle East and North Africa
Cyprus,16.0,32.3,20.2,Middle East and North Africa
Egypt,5.8,24.4,5.4,Middle East and North Africa
Iran (Islamic Republic of),14.0,31.3,12.7,Middle East and North Africa
Iraq,18.8,15.6,6.7,Middle East and North Africa
Israel,8.5,37.1,21.3,Middle East and North Africa
Jordan,8.8,29.6,2.2,Middle East and North Africa
Kuwait,10.4,21.6,5.6,Middle East and North Africa
Libyan Arab Jamahiriya,8.1,23.0,15.5,Middle East and North Africa
Malta,26.4,14.3,9.8,Middle East and North Africa
Morocco,15.9,11.7,3.9,Middle East and North Africa
Qatar,10.1,26.8,15.2,Middle East and North Africa
Saudi Arabia,12.5,29.3,6.9,Middle East and North Africa
Syrian Arab Republic,28.9,17.4,1.9,Middle East and North Africa
Tunisia,18.6,16.2,7.0,Middle East and North Africa
United Arab Emirates,7.3,42.5,10.7,Middle East and North Africa
Yemen,5.4,9.6,1.5,Middle East and North Africa
Afghanistan,0.6,6.8,1.3,South Asia
Bangladesh,20.5,28.8,1.8,South Asia
India,11.0,20.3,3.2,South Asia
Maldives,17.9,11.0,0.2,South Asia
Nepal,16.3,13.7,0.9,South Asia
Pakistan,11.5,14.6,3.5,South Asia
Sri Lanka,11.0,18.0,9.1,South Asia
Benin,10.4,13.6,0.5,Sub-Saharan Africa
Botswana,5.9,27.0,1.8,Sub-Saharan Africa
Burundi,24.8,4.7,0.3,Sub-Saharan Africa
Cameroon,35.6,12.9,1.3,Sub-Saharan Africa
Central African Republic,18.0,6.3,0.3,Sub-Saharan Africa
Congo,4.5,4.8,0.4,Sub-Saharan Africa
Cote dIvoire,24.9,5.6,1.7,Sub-Saharan Africa
Democratic Republic of the Congo,0.2,8.4,0.3,Sub-Saharan Africa
Gabon,19.7,22.6,9.7,Sub-Saharan Africa
Gambia,3.8,3.4,0.6,Sub-Saharan Africa
Ghana,9.3,14.9,0.8,Sub-Saharan Africa
Kenya,22.7,11.1,3.0,Sub-Saharan Africa
Lesotho,28.4,14.8,0.8,Sub-Saharan Africa
Liberia,16.8,7.7,1.2,Sub-Saharan Africa
Malawi,15.1,6.7,0.1,Sub-Saharan Africa
Mali,6.8,4.1,1.1,Sub-Saharan Africa
Mauritania,33.9,6.0,0.5,Sub-Saharan Africa
Mauritius,8.2,43.1,1.4,Sub-Saharan Africa
Mozambique,13.4,2.2,0.3,Sub-Saharan Africa
Namibia,33.0,14.8,0.9,Sub-Saharan Africa
Niger,9.3,2.6,0.4,Sub-Saharan Africa
Reunion,18.0,23.6,0.2,Sub-Saharan Africa
Rwanda,34.0,6.6,0.4,Sub-Saharan Africa
Senegal,14.5,1.4,0.7,Sub-Saharan Africa
Sierra Leone,8.0,6.0,0.6,Sub-Saharan Africa
South Africa,6.1,54.7,0.2,Sub-Saharan Africa
Sudan,25.5,2.2,2.1,Sub-Saharan Africa
Swaziland,16.6,4.7,1.9,Sub-Saharan Africa
Togo,18.7,5.1,0.8,Sub-Saharan Africa
Uganda,12.1,4.8,0.9,Sub-Saharan Africa
United Republic of Tanzania,47.2,2.2,0.3,Sub-Saharan Africa
Zambia,31.6,16.5,0.3,Sub-Saharan Africa
Zimbabwe,29.0,6.7,0.3,Sub-Saharan Africa
