Country,Primary,Secondary,Tertiary,Region 
Haiti,3.9,3.1,0.5,Latin America and the Caribbean
Honduras,25.6,11.6,1.6,Latin America and the Caribbean
Jamaica,20.1,24.6,5.3,Latin America and the Caribbean
Mexico,20.7,15.6,4.1,Latin America and the Caribbean
Nicaragua,12.3,11.0,5.8,Latin America and the Caribbean
Panama,22.0,23.5,9.4,Latin America and the Caribbean
Paraguay,32.7,11.9,3.3,Latin America and the Caribbean
Peru,8.9,26.4,14.3,Latin America and the Caribbean
Trinidad and Tobago,34.9,18.3,2.4,Latin America and the Caribbean
Uruguay,28.3,15.9,2.0,Latin America and the Caribbean
Venezuela,30.4,7.7,2.7,Latin America and the Caribbean
Algeria,14.2,14.0,1.8,Middle East and North Africa
Bahrain,4.2,30.0,9.2,Middle East and North Africa
Cyprus,20.1,27.6,13.2,Middle East and North Africa
Egypt,5.9,14.7,1.6,Middle East and North Africa
Iran (Islamic Republic of),19.7,22.4,4.6,Middle East and North Africa
Iraq,17.4,7.7,3.1,Middle East and North Africa
Israel,22.0,30.0,15.8,Middle East and North Africa
Jordan,15.9,24.4,1.8,Middle East and North Africa
Kuwait,1.4,23.4,5.6,Middle East and North Africa
Libyan Arab Jamahiriya,11.7,21.8,2.4,Middle East and North Africa
Malta,21.8,38.8,4.9,Middle East and North Africa
Morocco,10.4,6.0,2.4,Middle East and North Africa
Qatar,5.0,20.6,10.2,Middle East and North Africa
Saudi Arabia,13.9,12.4,4.6,Middle East and North Africa
Syrian Arab Republic,9.5,4.5,1.5,Middle East and North Africa
Tunisia,15.5,10.0,1.6,Middle East and North Africa
United Arab Emirates,5.0,32.7,8.9,Middle East and North Africa
Yemen,3.0,1.8,0.3,Middle East and North Africa
Afghanistan,0.5,1.6,1.1,South Asia
Bangladesh,20.1,8.9,1.3,South Asia
India,9.3,4.5,1.8,South Asia
Maldives,12.9,13.2,0.2,South Asia
Nepal,4.5,4.9,0.8,South Asia
Pakistan,7.9,6.5,2.6,South Asia
Sri Lanka,14.0,40.3,5.4,South Asia
Benin,7.6,3.6,0.3,Sub-Saharan Africa
Botswana,8.1,24.4,1.5,Sub-Saharan Africa
Burundi,13.4,1.6,0.1,Sub-Saharan Africa
Cameroon,26.5,8.3,0.1,Sub-Saharan Africa
Central African Republic,11.3,3.7,0.4,Sub-Saharan Africa
Congo,5.4,7.6,0.6,Sub-Saharan Africa
Cote dIvoire,12.0,2.6,0.8,Sub-Saharan Africa
Democratic Republic of the Congo,1.3,5.4,0.2,Sub-Saharan Africa
Gabon,18.7,14.8,6.7,Sub-Saharan Africa
Gambia,4.2,2.2,0.7,Sub-Saharan Africa
Ghana,10.6,8.5,0.9,Sub-Saharan Africa
Kenya,18.7,2.5,1.2,Sub-Saharan Africa
Lesotho,21.7,21.5,0.6,Sub-Saharan Africa
Liberia,7.1,3.9,0.8,Sub-Saharan Africa
Malawi,10.6,1.4,0.1,Sub-Saharan Africa
Mali,4.9,0.6,0.1,Sub-Saharan Africa
Mauritania,19.0,2.5,0.3,Sub-Saharan Africa
Mauritius,8.8,24.6,0.5,Sub-Saharan Africa
Mozambique,7.1,0.5,0.1,Sub-Saharan Africa
Namibia,21.0,16.6,1.3,Sub-Saharan Africa
Niger,5.0,0.9,0.1,Sub-Saharan Africa
Reunion,24.0,18.3,0.2,Sub-Saharan Africa
Rwanda,17.6,2.9,0.1,Sub-Saharan Africa
Senegal,5.0,2.2,0.4,Sub-Saharan Africa
Sierra Leone,8.2,2.0,0.2,Sub-Saharan Africa
South Africa,21.8,26.2,0.3,Sub-Saharan Africa
Sudan,17.3,3.1,0.4,Sub-Saharan Africa
Swaziland,12.2,8.1,1.9,Sub-Saharan Africa
Togo,17.4,4.9,0.4,Sub-Saharan Africa
Uganda,16.8,0.9,0.8,Sub-Saharan Africa
United Republic of Tanzania,33.7,0.6,0.3,Sub-Saharan Africa
Zambia,29.0,11.0,0.5,Sub-Saharan Africa
Zimbabwe,23.7,15.9,0.9,Sub-Saharan Africa
