Country,Year,Age,AgeTo,Schooling,Primary,Primary,Secondary,Secondary,Tertiary,Tertiary,Avg. Years,Avg. Years Primary, Avg. Years Secondary,Avg. Years Tertiary,Populaition,Region 
,1955,75,+,1.8,63.3,45.2,28.8,7.9,6.1,2.8,6.85,5.35,1.32,0.18,141,Advanced Economies
,1955,25,+,1.2,47.2,29.2,42.8,19.1,8.9,4.6,7.77,5.39,2.11,0.27,2659,Advanced Economies
,1955,15,+,1.1,42.8,25.0,46.5,22.1,9.6,4.4,7.99,5.40,2.31,0.28,3243,Advanced Economies
,,,,,,,,,,,,,,,,
,1960,15,19,0.7,17.6,7.7,69.2,40.4,12.5,1.8,9.45,5.66,3.51,0.29,377,Advanced Economies
,1960,20,24,0.6,21.6,8.4,63.6,45.6,14.2,4.8,9.48,5.57,3.53,0.38,324,Advanced Economies
,1960,25,29,0.6,21.6,8.7,63.6,42.0,14.2,7.8,9.47,5.58,3.46,0.44,313,Advanced Economies
,1960,30,34,0.7,33.0,15.8,55.2,34.1,11.1,6.2,8.68,5.44,2.89,0.35,355,Advanced Economies
,1960,35,39,0.7,33.0,19.0,55.2,30.0,11.1,6.1,8.69,5.54,2.81,0.34,368,Advanced Economies
,1960,40,44,0.8,41.9,26.5,47.6,23.1,9.7,5.3,8.16,5.49,2.38,0.30,326,Advanced Economies
,1960,45,49,0.8,41.9,24.5,47.6,21.9,9.7,5.2,8.08,5.43,2.35,0.30,319,Advanced Economies
,1960,50,54,1.2,49.0,28.7,40.7,17.7,9.1,4.8,7.62,5.32,2.03,0.28,267,Advanced Economies
,1960,55,59,1.2,49.0,28.7,40.7,16.9,9.1,4.6,7.60,5.32,2.01,0.27,226,Advanced Economies
,1960,60,64,1.7,58.9,37.9,32.5,12.4,6.9,3.5,7.04,5.27,1.57,0.21,204,Advanced Economies
,1960,65,69,1.8,61.1,36.4,30.6,10.7,6.5,3.0,6.80,5.15,1.46,0.19,183,Advanced Economies
,1960,70,74,1.8,61.1,36.4,30.6,9.9,6.5,3.0,6.78,5.15,1.44,0.19,145,Advanced Economies
,1960,75,+,1.8,61.1,36.4,30.6,9.1,6.5,3.0,6.77,5.15,1.42,0.19,167,Advanced Economies
,1960,25,+,1.1,43.2,24.3,46.1,22.1,9.7,5.1,7.97,5.37,2.31,0.30,2873,Advanced Economies
,1960,15,+,1.0,38.5,20.5,50.1,25.7,10.4,4.9,8.24,5.40,2.54,0.31,3574,Advanced Economies
,,,,,,,,,,,,,,,,
,1965,15,19,0.2,10.9,5.2,74.3,47.3,14.6,2.1,10.06,5.82,3.90,0.33,502,Advanced Economies
,1965,20,24,0.4,14.2,6.0,66.3,51.9,19.0,6.5,10.21,5.72,3.98,0.51,405,Advanced Economies
,1965,25,29,0.6,21.6,8.4,63.6,45.6,14.2,7.9,9.54,5.57,3.53,0.44,355,Advanced Economies
,1965,30,34,0.6,21.6,8.7,63.6,42.0,14.2,8.0,9.48,5.58,3.46,0.44,337,Advanced Economies
,1965,35,39,0.7,33.0,15.8,55.2,34.1,11.1,6.2,8.68,5.44,2.89,0.35,373,Advanced Economies
,1965,40,44,0.7,33.0,19.0,55.2,30.0,11.1,6.1,8.69,5.54,2.81,0.34,384,Advanced Economies
,1965,45,49,0.8,41.9,26.5,47.6,23.1,9.7,5.2,8.16,5.49,2.38,0.30,330,Advanced Economies
,1965,50,54,0.8,41.9,24.5,47.6,21.9,9.7,5.1,8.08,5.43,2.35,0.30,319,Advanced Economies
,1965,55,59,1.2,49.0,28.7,40.7,17.7,9.1,4.6,7.62,5.32,2.03,0.27,261,Advanced Economies
,1965,60,64,1.2,49.0,28.7,40.7,16.9,9.1,4.7,7.61,5.32,2.01,0.28,219,Advanced Economies
,1965,65,69,1.7,58.9,34.4,32.5,12.4,6.9,3.3,6.94,5.16,1.57,0.20,194,Advanced Economies
,1965,70,74,1.7,58.9,34.4,32.5,11.4,6.9,3.3,6.92,5.16,1.55,0.20,158,Advanced Economies
,1965,75,+,1.7,58.9,34.4,32.5,10.5,6.9,3.2,6.90,5.16,1.53,0.20,214,Advanced Economies
,1965,25,+,1.0,39.3,21.0,49.3,25.5,10.5,5.6,8.23,5.40,2.51,0.32,3144,Advanced Economies
,1965,15,+,0.8,33.4,17.2,54.0,30.2,11.8,5.5,8.63,5.47,2.81,0.35,4051,Advanced Economies
,,,,,,,,,,,,,,,,
,1970,15,19,0.2,3.3,1.7,94.3,64.9,2.1,0.3,11.18,5.93,5.20,0.05,551,Advanced Economies
,1970,20,24,0.3,6.4,3.0,78.5,66.4,14.9,5.2,10.72,5.88,4.43,0.40,532,Advanced Economies
,1970,25,29,0.5,14.1,6.0,70.1,54.9,15.2,8.6,10.16,5.72,3.96,0.48,433,Advanced Economies
,1970,30,34,0.5,14.1,5.5,70.1,50.3,15.2,8.7,10.05,5.70,3.87,0.48,381,Advanced Economies
,1970,35,39,0.8,22.1,8.9,66.0,43.6,11.0,6.2,9.30,5.55,3.40,0.34,355,Advanced Economies
,1970,40,44,0.8,22.1,10.6,66.0,40.7,11.0,6.2,9.29,5.60,3.34,0.34,383,Advanced Economies
,1970,45,49,0.8,29.5,16.9,61.3,33.3,8.4,4.6,8.76,5.58,2.92,0.26,384,Advanced Economies
,1970,50,54,0.8,29.5,18.6,61.3,29.8,8.4,4.5,8.74,5.63,2.85,0.26,325,Advanced Economies
,1970,55,59,1.2,39.5,23.1,51.9,23.8,7.4,3.8,8.06,5.44,2.40,0.22,311,Advanced Economies
,1970,60,64,1.2,39.5,23.1,51.9,22.5,7.4,3.9,8.04,5.44,2.38,0.23,250,Advanced Economies
,1970,65,69,1.6,56.2,32.9,37.1,15.4,5.2,2.5,7.04,5.21,1.68,0.15,203,Advanced Economies
,1970,70,74,1.6,56.2,32.9,37.1,14.2,5.2,2.5,7.02,5.21,1.66,0.15,171,Advanced Economies
,1970,75,+,1.6,56.2,32.9,37.1,13.0,5.2,2.5,7.00,5.21,1.63,0.15,246,Advanced Economies
,1970,25,+,0.9,30.1,15.5,59.0,33.2,10.0,5.4,8.75,5.51,2.93,0.31,3442,Advanced Economies
,1970,15,+,0.8,24.5,12.5,65.2,39.9,9.5,4.4,9.19,5.59,3.32,0.28,4525,Advanced Economies
,,,,,,,,,,,,,,,,
,1975,15,19,4.0,0.0,0.0,84.7,62.3,11.3,1.7,11.33,5.76,5.31,0.26,598,Advanced Economies
,1975,20,24,0.4,1.8,0.7,61.8,55.9,36.0,12.7,12.67,5.94,5.75,0.97,564,Advanced Economies
,1975,25,29,0.4,5.1,2.3,73.7,62.4,20.8,11.9,11.05,5.89,4.50,0.65,554,Advanced Economies
,1975,30,34,0.6,9.7,4.1,72.4,56.7,17.4,10.1,10.52,5.80,4.17,0.55,446,Advanced Economies
,1975,35,39,0.9,10.8,4.2,73.1,52.4,15.2,8.7,10.23,5.75,4.00,0.48,392,Advanced Economies
,1975,40,44,1.3,15.2,6.1,71.5,47.2,12.0,6.8,9.72,5.65,3.69,0.38,361,Advanced Economies
,1975,45,49,1.2,15.5,7.5,72.2,44.6,11.1,6.2,9.64,5.69,3.61,0.34,380,Advanced Economies
,1975,50,54,1.1,19.0,10.9,70.1,38.1,9.8,5.4,9.35,5.69,3.35,0.30,369,Advanced Economies
,1975,55,59,1.1,18.7,11.8,70.6,34.3,9.6,5.0,9.30,5.73,3.28,0.29,313,Advanced Economies
,1975,60,64,1.6,24.6,14.4,64.7,29.7,9.2,4.9,8.87,5.60,2.99,0.28,289,Advanced Economies
,1975,65,69,1.7,25.1,14.7,64.1,27.9,9.1,4.4,8.79,5.59,2.94,0.27,234,Advanced Economies
,1975,70,74,1.8,31.7,18.5,58.3,24.1,8.2,4.0,8.38,5.50,2.64,0.24,180,Advanced Economies
,1975,75,+,1.8,31.7,18.5,58.3,22.2,8.2,4.0,8.34,5.50,2.60,0.24,272,Advanced Economies
,1975,25,+,1.1,16.6,8.3,69.4,42.8,12.9,7.0,9.67,5.69,3.58,0.40,3790,Advanced Economies
,1975,15,+,1.4,12.9,6.2,70.4,46.7,15.3,7.3,10.18,5.72,4.01,0.45,4952,Advanced Economies
,,,,,,,,,,,,,,,,
,1980,15,19,0.3,0.4,0.2,79.7,60.6,19.7,2.9,12.02,5.98,5.58,0.45,626,Advanced Economies
,1980,20,24,0.3,0.9,0.4,56.0,52.4,42.8,15.2,12.98,5.97,5.86,1.16,625,Advanced Economies
,1980,25,29,0.4,1.8,0.7,61.8,55.9,36.0,20.6,12.83,5.94,5.75,1.13,599,Advanced Economies
,1980,30,34,0.5,3.9,1.8,69.7,59.0,25.9,15.1,11.29,5.91,4.56,0.82,574,Advanced Economies
,1980,35,39,0.7,5.9,2.5,74.3,58.2,19.2,11.0,10.82,5.86,4.35,0.60,468,Advanced Economies
,1980,40,44,1.2,8.0,3.1,75.6,54.2,15.1,8.6,10.36,5.78,4.11,0.47,395,Advanced Economies
,1980,45,49,1.7,9.2,3.7,76.2,50.3,12.9,7.2,10.07,5.73,3.94,0.40,363,Advanced Economies
,1980,50,54,1.5,9.9,4.8,77.5,47.8,11.1,6.1,9.93,5.75,3.84,0.34,379,Advanced Economies
,1980,55,59,1.3,10.1,5.8,77.6,42.1,11.0,5.7,9.85,5.79,3.72,0.33,359,Advanced Economies
,1980,60,64,1.3,9.5,6.0,78.7,40.4,10.6,5.7,9.85,5.82,3.70,0.33,315,Advanced Economies
,1980,65,69,1.9,11.8,6.9,75.6,36.7,10.7,5.2,9.59,5.74,3.54,0.32,278,Advanced Economies
,1980,70,74,1.9,11.8,6.9,75.6,35.0,10.7,5.2,9.56,5.74,3.50,0.32,218,Advanced Economies
,1980,75,+,1.9,11.8,6.9,75.6,32.2,10.7,5.2,9.50,5.74,3.45,0.32,321,Advanced Economies
,1980,25,+,1.1,7.5,3.8,73.1,49.3,18.2,10.0,10.60,5.82,4.22,0.56,4269,Advanced Economies
,1980,15,+,0.9,5.9,3.0,71.9,51.3,21.3,10.2,11.05,5.86,4.56,0.63,5520,Advanced Economies
,,,,,,,,,,,,,,,,
,1985,15,19,0.9,8.9,5.1,76.0,59.1,14.3,2.2,11.24,5.83,5.08,0.33,657,Advanced Economies
,1985,20,24,0.5,7.4,3.8,54.9,52.5,37.2,13.7,12.36,5.86,5.48,1.02,652,Advanced Economies
,1985,25,29,0.5,2.3,1.0,57.3,53.6,39.9,23.8,12.96,5.93,5.76,1.27,650,Advanced Economies
,1985,30,34,0.6,4.8,1.9,60.4,54.6,34.2,20.7,12.53,5.88,5.56,1.10,620,Advanced Economies
,1985,35,39,0.7,6.5,3.0,66.9,56.6,25.9,15.4,11.11,5.85,4.43,0.83,585,Advanced Economies
,1985,40,44,1.0,8.1,3.4,70.9,55.5,20.1,11.9,10.68,5.80,4.24,0.64,475,Advanced Economies
,1985,45,49,1.6,10.1,3.9,72.2,51.8,16.1,9.3,10.23,5.72,4.01,0.51,398,Advanced Economies
,1985,50,54,2.3,11.4,4.6,72.9,48.2,13.4,7.7,9.90,5.66,3.82,0.42,363,Advanced Economies
,1985,55,59,2.1,9.9,4.8,77.5,47.8,10.8,5.9,9.89,5.74,3.82,0.33,375,Advanced Economies
,1985,60,64,2.0,10.2,5.8,78.1,42.4,9.8,5.4,9.74,5.75,3.68,0.30,350,Advanced Economies
,1985,65,69,2.0,9.6,6.0,79.1,39.5,9.4,4.8,9.69,5.78,3.63,0.28,301,Advanced Economies
,1985,70,74,2.3,10.9,6.4,77.2,35.5,9.5,4.8,9.52,5.73,3.50,0.29,255,Advanced Economies
,1985,75,+,2.3,10.9,6.4,77.2,32.7,9.5,4.8,9.46,5.73,3.45,0.29,367,Advanced Economies
,1985,25,+,1.4,7.9,3.7,69.8,50.2,21.0,11.9,10.84,5.79,4.39,0.66,4739,Advanced Economies
,1985,15,+,1.2,7.9,3.9,68.9,51.7,22.0,11.0,11.05,5.81,4.59,0.66,6048,Advanced Economies
,,,,,,,,,,,,,,,,
,1990,15,19,0.1,19.4,13.6,68.9,54.1,11.6,1.9,9.82,5.82,3.73,0.27,677,Advanced Economies
,1990,20,24,0.5,5.0,2.9,53.9,52.1,40.5,15.8,12.66,5.91,5.63,1.13,660,Advanced Economies
,1990,25,29,0.5,7.4,3.8,54.9,52.5,37.2,23.5,12.56,5.86,5.48,1.21,692,Advanced Economies
,1990,30,34,0.7,3.5,1.6,58.4,54.7,37.3,24.0,12.79,5.90,5.67,1.23,686,Advanced Economies
,1990,35,39,0.8,7.5,2.9,59.1,53.5,32.7,20.6,12.28,5.82,5.39,1.07,648,Advanced Economies
,1990,40,44,0.9,8.8,4.1,64.4,54.5,25.9,16.3,10.97,5.80,4.32,0.84,615,Advanced Economies
,1990,45,49,1.2,10.0,4.2,67.8,53.1,21.0,12.9,10.58,5.75,4.15,0.68,473,Advanced Economies
,1990,50,54,2.0,11.9,4.6,69.1,49.6,17.0,10.3,10.12,5.66,3.91,0.54,397,Advanced Economies
,1990,55,59,2.8,13.3,5.4,69.9,46.2,13.9,8.0,9.75,5.59,3.72,0.44,352,Advanced Economies
,1990,60,64,2.6,9.9,4.8,77.5,47.8,10.5,6.2,9.86,5.72,3.81,0.33,364,Advanced Economies
,1990,65,69,2.5,10.2,5.9,78.6,42.7,8.7,4.7,9.63,5.72,3.65,0.27,347,Advanced Economies
,1990,70,74,2.5,8.8,5.6,80.2,40.1,8.6,4.6,9.65,5.76,3.64,0.26,267,Advanced Economies
,1990,75,+,2.6,10.1,5.9,78.6,36.1,8.7,4.6,9.50,5.72,3.51,0.27,467,Advanced Economies
,1990,25,+,1.5,8.7,4.1,66.6,51.0,23.2,14.0,11.04,5.77,4.52,0.74,5308,Advanced Economies
,1990,15,+,1.3,9.4,4.7,65.6,51.6,23.8,12.8,11.06,5.79,4.55,0.73,6645,Advanced Economies
,,,,,,,,,,,,,,,,
,1995,15,19,2.1,24.7,21.5,40.8,32.3,32.5,5.3,10.03,5.78,3.49,0.76,635,Advanced Economies
,1995,20,24,0.5,6.0,4.0,50.2,48.9,43.3,17.0,11.77,5.91,4.65,1.21,678,Advanced Economies
,1995,25,29,0.5,5.0,2.9,53.9,52.1,40.5,25.8,12.86,5.91,5.63,1.33,704,Advanced Economies
,1995,30,34,0.7,7.4,3.8,57.3,54.8,34.7,22.4,12.46,5.85,5.47,1.14,724,Advanced Economies
,1995,35,39,0.9,4.7,2.1,59.5,55.6,35.0,22.3,12.61,5.87,5.59,1.15,724,Advanced Economies
,1995,40,44,0.9,9.7,3.8,58.0,52.5,31.3,19.8,12.04,5.77,5.25,1.02,673,Advanced Economies
,1995,45,49,1.1,10.8,5.0,62.2,52.7,25.9,16.0,10.82,5.76,4.22,0.84,613,Advanced Economies
,1995,50,54,1.4,11.7,5.0,65.2,51.0,21.7,13.2,10.47,5.71,4.06,0.70,478,Advanced Economies
,1995,55,59,2.3,13.6,5.3,66.3,47.6,17.8,10.3,10.00,5.61,3.83,0.56,395,Advanced Economies
,1995,60,64,3.3,15.1,6.1,67.1,44.3,14.4,8.5,9.61,5.53,3.62,0.46,353,Advanced Economies
,1995,65,69,3.4,16.7,8.0,68.3,42.1,11.7,6.3,9.37,5.54,3.47,0.36,348,Advanced Economies
,1995,70,74,3.3,16.8,9.7,70.5,38.3,9.3,5.1,9.22,5.59,3.35,0.29,311,Advanced Economies
,1995,75,+,3.3,16.6,10.0,70.8,35.4,9.3,5.0,9.19,5.60,3.30,0.29,520,Advanced Economies
,1995,25,+,1.6,10.5,5.0,62.2,50.1,25.7,15.6,11.14,5.74,4.58,0.83,5843,Advanced Economies
,1995,15,+,1.6,11.3,5.9,59.1,48.5,28.0,15.3,11.10,5.74,4.49,0.87,7156,Advanced Economies
,,,,,,,,,,,,,,,,
,2000,15,19,0.2,26.6,24.7,72.0,70.3,1.2,0.2,9.59,5.93,3.63,0.03,653,Advanced Economies
,2000,20,24,0.2,5.4,4.1,70.5,69.2,23.8,9.5,11.30,5.95,4.69,0.67,634,Advanced Economies
,2000,25,29,0.4,6.7,4.5,55.9,54.4,37.0,23.9,11.74,5.91,4.61,1.22,699,Advanced Economies
,2000,30,34,0.6,5.0,2.9,61.4,59.4,33.0,21.6,12.62,5.90,5.62,1.09,742,Advanced Economies
,2000,35,39,0.8,7.7,3.9,62.0,59.4,29.5,19.0,12.25,5.84,5.44,0.97,754,Advanced Economies
,2000,40,44,0.9,5.9,2.6,62.9,58.8,30.3,19.5,12.35,5.85,5.51,1.00,742,Advanced Economies
,2000,45,49,1.0,11.8,4.6,57.8,52.3,29.4,18.4,11.80,5.72,5.12,0.96,685,Advanced Economies
,2000,50,54,1.2,12.7,5.9,61.4,52.0,24.7,15.2,10.64,5.72,4.12,0.80,619,Advanced Economies
,2000,55,59,1.5,13.5,5.7,64.2,50.3,20.8,12.2,10.31,5.68,3.97,0.66,475,Advanced Economies
,2000,60,64,2.4,15.5,6.0,65.5,46.9,16.7,10.0,9.85,5.57,3.74,0.54,385,Advanced Economies
,2000,65,69,3.3,17.3,6.9,66.4,43.9,13.0,7.1,9.41,5.49,3.52,0.40,340,Advanced Economies
,2000,70,74,3.2,17.6,8.4,68.5,42.2,10.8,5.9,9.30,5.53,3.44,0.33,329,Advanced Economies
,2000,75,+,3.1,17.9,10.6,71.2,38.7,7.8,4.2,9.13,5.59,3.30,0.24,635,Advanced Economies
,2000,25,+,1.4,10.9,5.4,62.3,52.0,25.5,15.7,11.16,5.75,4.58,0.82,6405,Advanced Economies
,2000,15,+,1.2,11.6,6.4,63.3,54.2,23.9,13.3,11.02,5.77,4.51,0.74,7692,Advanced Economies
,,,,,,,,,,,,,,,,
,2005,15,19,0.1,24.3,24.2,74.5,71.9,1.1,0.2,10.47,5.99,4.46,0.03,687,Advanced Economies
,2005,20,24,0.2,2.9,2.7,69.7,68.2,27.2,11.0,11.55,5.98,4.81,0.76,692,Advanced Economies
,2005,25,29,0.3,3.9,3.0,50.7,49.1,45.1,29.6,12.21,5.95,4.76,1.49,682,Advanced Economies
,2005,30,34,0.4,4.5,3.0,51.0,49.3,44.1,29.4,12.12,5.93,4.72,1.47,738,Advanced Economies
,2005,35,39,0.5,4.1,2.4,56.8,54.5,38.6,25.4,12.87,5.92,5.68,1.28,768,Advanced Economies
,2005,40,44,0.7,7.0,3.6,58.1,55.3,34.2,22.4,12.47,5.85,5.48,1.13,769,Advanced Economies
,2005,45,49,0.9,6.3,2.8,58.7,54.8,34.2,21.8,12.46,5.84,5.49,1.12,749,Advanced Economies
,2005,50,54,1.0,12.8,5.0,53.8,48.7,32.3,20.3,11.82,5.70,5.07,1.05,686,Advanced Economies
,2005,55,59,1.1,13.8,6.4,58.1,49.3,27.0,16.2,10.65,5.71,4.08,0.86,615,Advanced Economies
,2005,60,64,1.5,14.7,6.2,61.2,48.4,22.6,13.9,10.32,5.65,3.93,0.73,467,Advanced Economies
,2005,65,69,2.4,16.7,6.5,62.7,45.8,18.3,10.2,9.82,5.55,3.71,0.57,373,Advanced Economies
,2005,70,74,3.6,17.3,6.9,64.9,44.1,14.2,8.0,9.46,5.48,3.54,0.44,320,Advanced Economies
,2005,75,+,3.4,18.0,10.0,68.4,40.9,10.3,5.7,9.26,5.56,3.38,0.32,729,Advanced Economies
,2005,25,+,1.2,9.8,5.1,57.4,49.4,31.6,19.7,11.48,5.79,4.67,1.02,6896,Advanced Economies
,2005,15,+,1.0,10.5,6.2,60.0,52.8,28.5,16.2,11.37,5.81,4.67,0.89,8275,Advanced Economies
,,,,,,,,,,,,,,,,
,2010,15,19,0.1,18.5,18.5,81.4,35.2,0.0,0.0,10.95,6.99,3.96,0.00,693,Advanced Economies
,2010,20,24,0.1,3.1,3.1,96.8,78.7,0.0,0.0,11.26,5.99,5.26,0.00,726,Advanced Economies
,2010,25,29,0.2,2.0,1.8,46.5,36.8,51.3,34.2,12.39,5.98,4.70,1.71,739,Advanced Economies
,2010,30,34,0.3,3.2,2.5,45.9,33.0,50.5,34.3,12.22,5.96,4.56,1.70,721,Advanced Economies
,2010,35,39,0.4,3.3,2.2,50.8,33.0,45.4,30.3,11.91,5.94,4.46,1.51,764,Advanced Economies
,2010,40,44,0.5,3.3,1.9,50.8,32.9,45.4,30.1,12.85,5.93,5.41,1.51,784,Advanced Economies
,2010,45,49,0.7,6.5,3.3,55.4,29.0,37.3,24.2,12.13,5.86,5.04,1.23,777,Advanced Economies
,2010,50,54,0.9,6.5,2.9,55.3,29.0,37.3,23.7,12.09,5.84,5.03,1.22,750,Advanced Economies
,2010,55,59,1.0,14.4,5.6,53.8,22.9,30.8,18.7,11.12,5.67,4.46,0.99,681,Advanced Economies
,2010,60,64,1.1,14.4,6.6,53.8,22.9,30.8,19.1,10.30,5.70,3.61,1.00,604,Advanced Economies
,2010,65,69,1.5,14.3,6.1,53.6,22.8,30.6,17.4,10.21,5.66,3.59,0.96,452,Advanced Economies
,2010,70,74,2.4,14.2,5.5,53.1,22.6,30.4,17.2,10.10,5.59,3.56,0.95,352,Advanced Economies
,2010,75,+,3.6,14.0,7.1,52.4,22.3,30.0,16.9,10.03,5.58,3.52,0.94,790,Advanced Economies
,2010,25,+,0.9,6.4,3.6,51.1,30.2,41.6,26.3,11.81,5.86,4.59,1.36,7414,Advanced Economies
,2010,15,+,0.8,7.3,4.6,57.6,34.5,34.3,19.8,11.60,5.95,4.57,1.08,8833,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Austria,1950,15,19,0.1,99.4,72.1,0.5,0.1,0.0,0.0,3.48,3.45,0.03,0.00,224,Advanced Economies
,1950,20,24,1.2,92.6,62.5,5.2,3.1,1.0,0.3,3.79,3.35,0.41,0.03,251,Advanced Economies
,1950,25,29,1.2,94.7,61.0,3.3,1.6,0.8,0.4,3.56,3.28,0.26,0.02,300,Advanced Economies
,1950,30,34,1.2,94.7,61.6,3.3,1.6,0.8,0.4,6.86,6.58,0.26,0.02,191,Advanced Economies
,1950,35,39,1.6,94.3,58.9,3.3,1.3,0.8,0.4,6.73,6.45,0.25,0.02,286,Advanced Economies
,1950,40,44,1.7,94.2,58.5,3.3,1.3,0.8,0.4,6.71,6.44,0.25,0.02,295,Advanced Economies
,1950,45,49,2.2,93.7,56.8,3.3,1.3,0.8,0.4,6.62,6.35,0.25,0.02,287,Advanced Economies
,1950,50,54,2.4,93.5,57.3,3.3,1.3,0.8,0.4,6.63,6.36,0.25,0.02,264,Advanced Economies
,1950,55,59,3.9,94.0,56.1,2.0,0.8,0.2,0.1,6.31,6.18,0.13,0.01,227,Advanced Economies
,1950,60,64,3.9,94.1,56.2,1.8,0.7,0.2,0.1,6.29,6.17,0.12,0.01,201,Advanced Economies
,1950,65,69,4.2,94.0,51.4,1.7,0.7,0.2,0.1,6.07,5.96,0.11,0.00,165,Advanced Economies
,1950,70,74,4.2,94.0,51.3,1.7,0.7,0.2,0.1,6.07,5.96,0.11,0.00,126,Advanced Economies
,1950,75,+,4.2,94.0,51.3,1.7,0.7,0.2,0.1,6.07,5.96,0.11,0.00,126,Advanced Economies
,1950,25,+,2.5,94.1,57.1,2.8,1.2,0.6,0.3,6.16,5.93,0.20,0.02,2468,Advanced Economies
,1950,15,+,2.2,94.4,58.7,2.8,1.2,0.6,0.3,5.77,5.55,0.21,0.02,2943,Advanced Economies
,,,,,,,,,,,,,,,,
,1955,15,19,0.1,97.2,71.3,2.7,0.3,0.0,0.0,3.60,3.48,0.12,0.00,243,Advanced Economies
,1955,20,24,1.2,92.6,63.2,5.2,2.2,1.0,0.3,3.76,3.36,0.37,0.03,219,Advanced Economies
,1955,25,29,1.2,92.6,60.3,5.2,3.1,1.0,0.5,3.75,3.31,0.41,0.03,246,Advanced Economies
,1955,30,34,1.2,94.7,62.3,3.3,1.6,0.8,0.4,3.59,3.30,0.26,0.02,293,Advanced Economies
,1955,35,39,1.2,94.7,59.8,3.3,1.6,0.8,0.4,6.79,6.50,0.26,0.02,190,Advanced Economies
,1955,40,44,1.6,94.3,59.2,3.3,1.3,0.8,0.4,6.74,6.47,0.25,0.02,275,Advanced Economies
,1955,45,49,1.7,94.2,57.8,3.3,1.3,0.8,0.4,6.68,6.41,0.25,0.02,288,Advanced Economies
